size,agent,reference,n,agent_mean,ref_mean,diff,ci_lo,ci_hi,bootstrap_p,mann_whitney_u,mwu_p,cohens_d,cohens_h,bootstrap_p_holm
9,DoubleDQN,Random,20,0.15800000000000003,0.31700000000000006,-0.159,-0.18800000000000003,-0.12700000000000003,0.0,9.5,2.423099066815981e-07,-3.1351097977312654,-0.37852484582957935,0.0
9,FeatureQ,Random,20,0.196,0.31700000000000006,-0.12100000000000002,-0.14300000000000004,-0.09700000000000002,0.0,16.5,6.245415017204767e-07,-2.3229926515940273,-0.278831927525351,0.0
9,MLP_DQN,Random,20,0.193,0.31700000000000006,-0.12400000000000003,-0.16002500000000006,-0.08700000000000001,0.0,38.5,1.2165490694613305e-05,-1.8156520017280084,-0.2864112707962363,0.0
9,TabularQ,Random,20,0.005,0.31700000000000006,-0.31200000000000006,-0.333,-0.29200000000000004,0.0,0.0,2.2679514764689297e-08,-8.236988672553997,-1.0545497187580979,0.0
11,DoubleDQN,Random,20,0.097,0.18900000000000003,-0.092,-0.11600000000000002,-0.067,0.0,16.5,6.330047352745551e-07,-2.3508132686487424,-0.2660686183130623,0.0
11,FeatureQ,Random,20,0.16700000000000004,0.18900000000000003,-0.022000000000000002,-0.05400000000000001,0.010999999999999992,0.172,149.0,0.16652229358137138,-0.4275781351171018,-0.057539244249273924,0.8599999999999999
11,MLP_DQN,Random,20,0.10300000000000002,0.18900000000000003,-0.08600000000000001,-0.11200000000000002,-0.06000000000000001,0.0,19.0,8.116871062819683e-07,-2.2442599022752634,-0.24606650636675398,0.0
11,TabularQ,Random,20,0.003,0.18900000000000003,-0.18600000000000003,-0.201,-0.171,0.0,0.0,1.7223712824158568e-08,-6.977869780002108,-0.7899026268106619,0.0
13,DoubleDQN,Random,20,0.034,0.12300000000000003,-0.089,-0.11400000000000002,-0.065,0.0,32.0,4.855338035777688e-06,-2.051770512938092,-0.3457617238293097,0.0
13,FeatureQ,Random,20,0.11100000000000002,0.12300000000000003,-0.011999999999999997,-0.045,0.021000000000000005,0.4944,168.0,0.388026030314955,-0.20823003249827207,-0.037345713212963094,1.0
13,MLP_DQN,Random,20,0.04100000000000001,0.12300000000000003,-0.082,-0.10800000000000001,-0.054000000000000006,0.0,33.5,5.8200503079970194e-06,-1.9187832359670658,-0.3088771392800238,0.0
13,TabularQ,Random,20,0.001,0.12300000000000003,-0.12200000000000004,-0.14400000000000002,-0.10000000000000002,0.0,0.0,1.0057252684029215e-08,-3.4114066707519695,-0.6534098024744386,0.0
17,DoubleDQN,Random,20,0.005,0.044,-0.039,-0.051000000000000004,-0.026000000000000002,0.0,31.5,1.7526806732726672e-06,-1.9260727134667,-0.28112313147987744,0.0
17,FeatureQ,Random,20,0.049,0.044,0.005,-0.011000000000000001,0.021,0.5416,213.0,0.7280909074754824,0.16799824575379294,0.02375393336975562,1.0
17,MLP_DQN,Random,20,0.009,0.044,-0.035,-0.048,-0.020999999999999998,0.0,50.5,2.766945494540112e-05,-1.6235456075364338,-0.232640181341594,0.0
17,TabularQ,Random,20,0.0,0.044,-0.044,-0.05500000000000001,-0.033,0.0,10.0,2.5553848084429587e-08,-2.3536692707652405,-0.4226626048043046,0.0
21,DoubleDQN,Random,20,0.002,0.020999999999999998,-0.019000000000000003,-0.026000000000000002,-0.011999999999999999,0.0,64.0,3.569734952363033e-05,-1.640062170031559,-0.20137907870224392,0.0
21,FeatureQ,Random,20,0.031,0.020999999999999998,0.01,0.000999999999999999,0.019999999999999997,0.0436,248.5,0.16981635216002366,0.5293732031380037,0.06312992806573386,0.2616
21,MLP_DQN,Random,20,0.002,0.020999999999999998,-0.019,-0.026000000000000002,-0.011999999999999999,0.0,64.0,3.569734952363033e-05,-1.640062170031559,-0.20137907870224392,0.0
21,TabularQ,Random,20,0.001,0.020999999999999998,-0.02,-0.026000000000000002,-0.014000000000000002,0.0,57.0,1.0543212711031954e-05,-1.7869743453458888,-0.22759554003159524,0.0
25,FeatureQ,Random,1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0
25,TabularQ,Random,1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0
