size,agent,reference,n,agent_mean,ref_mean,diff,ci_lo,ci_hi,bootstrap_p,mann_whitney_u,mwu_p,cohens_d,cohens_h,bootstrap_p_holm
9,DoubleDQN,Random,20,0.15800000000000003,0.31700000000000006,-0.15900000000000003,-0.18800000000000003,-0.12800000000000003,0.0,9.5,2.423099066815981e-07,-3.1351097977312654,-0.37852484582957935,0.0
9,FeatureQ,Random,20,0.196,0.31700000000000006,-0.12100000000000002,-0.14300000000000004,-0.09700000000000002,0.0,16.5,6.245415017204767e-07,-2.3229926515940273,-0.278831927525351,0.0
9,MLP_DQN,Random,20,0.193,0.31700000000000006,-0.12400000000000003,-0.15902500000000006,-0.08700000000000004,0.0,38.5,1.2165490694613305e-05,-1.8156520017280084,-0.2864112707962363,0.0
9,TabularQ,Random,20,0.005,0.31700000000000006,-0.312,-0.332,-0.2920000000000001,0.0,0.0,2.2679514764689297e-08,-8.236988672553997,-1.0545497187580979,0.0
11,DoubleDQN,Random,20,0.09700000000000002,0.189,-0.092,-0.11600000000000002,-0.067,0.0,16.5,6.330047352745551e-07,-2.3508132686487415,-0.26606861831306217,0.0
11,FeatureQ,Random,20,0.16700000000000004,0.189,-0.022000000000000006,-0.054000000000000006,0.01,0.1836,149.0,0.16652229358137138,-0.4275781351171013,-0.05753924424927381,0.5508000000000001
11,MLP_DQN,Random,20,0.10300000000000002,0.189,-0.08600000000000001,-0.11200000000000002,-0.06000000000000001,0.0,19.0,8.116871062819683e-07,-2.2442599022752625,-0.24606650636675387,0.0
11,TabularQ,Random,20,0.003,0.189,-0.18600000000000003,-0.201,-0.171,0.0,0.0,1.7223712824158568e-08,-6.9778697800021074,-0.7899026268106618,0.0
13,DoubleDQN,Random,20,0.03400000000000001,0.12300000000000003,-0.08900000000000001,-0.11400000000000002,-0.065,0.0,32.0,4.855338035777688e-06,-2.0517705129380914,-0.34576172382930964,0.0
13,FeatureQ,Random,20,0.11100000000000002,0.12300000000000003,-0.011999999999999995,-0.045,0.022000000000000002,0.5168,168.0,0.388026030314955,-0.20823003249827207,-0.037345713212963094,1.0
13,MLP_DQN,Random,20,0.041,0.12300000000000003,-0.082,-0.10800000000000001,-0.053000000000000005,0.0,33.5,5.8200503079970194e-06,-1.9187832359670656,-0.3088771392800238,0.0
13,TabularQ,Random,20,0.001,0.12300000000000003,-0.12200000000000003,-0.144,-0.10000000000000002,0.0,0.0,1.0057252684029215e-08,-3.4114066707519695,-0.6534098024744386,0.0
17,DoubleDQN,Random,20,0.005,0.044000000000000004,-0.039,-0.05100000000000001,-0.026000000000000002,0.0,31.5,1.7526806732726672e-06,-1.9260727134667,-0.28112313147987744,0.0
17,FeatureQ,Random,20,0.04900000000000001,0.044000000000000004,0.005,-0.011,0.022,0.548,213.0,0.7280909074754824,0.1679982457537929,0.023753933369755675,1.0
17,MLP_DQN,Random,20,0.009000000000000001,0.044000000000000004,-0.034999999999999996,-0.04800000000000001,-0.021,0.0,50.5,2.766945494540112e-05,-1.6235456075364343,-0.23264018134159398,0.0
17,TabularQ,Random,20,0.0,0.044000000000000004,-0.044000000000000004,-0.05600000000000001,-0.03300000000000001,0.0,10.0,2.5553848084429587e-08,-2.35366927076524,-0.4226626048043046,0.0
21,DoubleDQN,Random,20,0.002,0.020999999999999998,-0.018999999999999996,-0.026000000000000002,-0.011999999999999999,0.0,64.0,3.569734952363033e-05,-1.6400621700315592,-0.20137907870224392,0.0
21,FeatureQ,Random,20,0.031000000000000007,0.020999999999999998,0.009999999999999998,0.0009999999999999996,0.019999999999999997,0.0364,248.5,0.16981635216002366,0.5293732031380041,0.06312992806573392,0.1456
21,MLP_DQN,Random,20,0.002,0.020999999999999998,-0.019,-0.026000000000000002,-0.011999999999999999,0.0,64.0,3.569734952363033e-05,-1.6400621700315592,-0.20137907870224392,0.0
21,TabularQ,Random,20,0.001,0.020999999999999998,-0.019999999999999997,-0.026000000000000002,-0.014000000000000002,0.0,57.0,1.0543212711031954e-05,-1.786974345345889,-0.22759554003159524,0.0
