agent,n_solved,n_unsolved,mean_solved_steps,median_solved_steps,p25_solved_steps,p75_solved_steps,mean_unsolved_steps,success_rate
Random,951,2049,193.9211356466877,195.0,132.0,263.0,324.0,31.7
LevyRandom_2.0,403,597,182.1836228287841,177.0,117.0,258.0,324.0,40.300000000000004
TabularQ_v2,298,702,177.16778523489933,180.0,103.75,249.0,324.0,29.799999999999997
TabularQ,5,995,175.4,174.0,111.0,232.0,324.0,0.5
LevyRandom_1.5,343,657,174.15743440233237,169.0,112.0,237.0,324.0,34.300000000000004
NoBackRandom,1044,956,167.588122605364,156.0,99.0,232.0,324.0,52.2
FeatureQ,549,1451,89.72677595628416,64.0,32.0,123.0,324.0,27.450000000000003
FeatureQ_v2,353,647,82.94050991501416,61.0,32.0,108.0,324.0,35.3
DRQN,59,341,17.576271186440678,15.0,13.0,18.0,324.0,14.75
BFSOracle,1000,0,17.516,16.0,12.0,20.0,0.0,100.0
DoubleDQN,327,1673,14.073394495412844,13.0,12.0,16.0,324.0,16.35
MLP_DQN,386,1614,13.676165803108809,12.0,12.0,16.0,324.0,19.3
MLP_DQN_h32,12,88,13.333333333333334,12.0,12.0,13.0,324.0,12.0
