size,agent,reference,n,agent_mean,ref_mean,diff,ci_lo,ci_hi,bootstrap_p,mann_whitney_u,mwu_p,cohens_d,cohens_h,bootstrap_p_holm
9,BFSOracle,Random,20,1.0,0.31700000000000006,0.683,0.66,0.7040000000000001,0.0,400.0,7.4104499801006485e-09,18.42443031208237,1.945503461507268,0.0
9,NoBackRandom,Random,20,0.522,0.31700000000000006,0.205,0.164,0.24402499999999963,0.0,396.5,1.0546180221543886e-07,3.3193384056705004,0.4187213444286939,0.0
9,LevyRandom_2.0,Random,20,0.403,0.31700000000000006,0.08600000000000001,0.043999999999999984,0.128,0.0,336.0,0.00023039305315044188,1.4066463309267794,0.17946915389451767,0.0
9,LevyRandom_1.5,Random,20,0.34299999999999997,0.31700000000000006,0.026000000000000002,-0.012000000000000005,0.06400000000000002,0.1896,248.5,0.1904683225229562,0.4094294468396726,0.05530393569466563,1.0
9,FeatureQ_v2,Random,20,0.35300000000000004,0.31700000000000006,0.03599999999999999,-0.0020000000000000074,0.068,0.0614,279.0,0.03234176472720073,0.5955757366458476,0.07629802268759556,0.7982
9,TabularQ_v2,Random,20,0.29800000000000004,0.31700000000000006,-0.01900000000000001,-0.05500000000000001,0.017999999999999988,0.3026,154.5,0.22091236857171914,-0.25672468174629837,-0.04117824754201216,1.0
9,FeatureQ,Random,20,0.196,0.31700000000000006,-0.12100000000000002,-0.14300000000000004,-0.09700000000000002,0.0,16.5,6.245415017204767e-07,-2.3229926515940273,-0.278831927525351,0.0
9,TabularQ,Random,20,0.005,0.31700000000000006,-0.312,-0.333,-0.29200000000000004,0.0,0.0,2.2679514764689297e-08,-8.236988672553997,-1.0545497187580979,0.0
9,MLP_DQN,Random,20,0.193,0.31700000000000006,-0.12400000000000003,-0.16000000000000003,-0.088,0.0,38.5,1.2165490694613305e-05,-1.8156520017280084,-0.2864112707962363,0.0
9,DoubleDQN,Random,20,0.15800000000000003,0.31700000000000006,-0.15900000000000003,-0.18800000000000003,-0.12700000000000003,0.0,9.5,2.423099066815981e-07,-3.1351097977312654,-0.37852484582957935,0.0
9,DRQN,Random,20,0.19000000000000003,0.31700000000000006,-0.12700000000000003,-0.175,-0.079,0.0,66.5,0.0003033372511368406,-1.4695149930186167,-0.29403556849000023,0.0
11,BFSOracle,Random,20,1.0,0.189,0.8110000000000002,0.7950000000000002,0.8260000000000002,0.0,400.0,6.996021883219048e-09,31.01652071641513,2.2420906689474918,0.0
11,NoBackRandom,Random,20,0.36900000000000005,0.189,0.18,0.15,0.21000000000000002,0.0,398.0,8.011648092765122e-08,3.402319851007488,0.4062003273218858,0.0
11,LevyRandom_2.0,Random,20,0.23000000000000004,0.189,0.041,0.013000000000000006,0.06700000000000002,0.0032,293.5,0.010921599195455546,0.8559871057511357,0.10085723275267344,0.057600000000000005
11,LevyRandom_1.5,Random,20,0.207,0.189,0.017999999999999995,-0.017000000000000005,0.055999999999999994,0.3536,225.5,0.4905657379941567,0.33921294279662667,0.045180740292459554,1.0
11,FeatureQ_v2,Random,20,0.22399999999999998,0.189,0.034999999999999996,-0.006000000000000001,0.078,0.0972,254.0,0.14255110988577682,0.5532893994486842,0.08653347331921335,1.0
11,TabularQ_v2,Random,20,0.16200000000000003,0.189,-0.027000000000000003,-0.074,0.020999999999999998,0.26,163.0,0.3203751199638556,-0.4057079374146912,-0.07102655009003789,1.0
11,FeatureQ,Random,20,0.16700000000000004,0.189,-0.022000000000000006,-0.054000000000000006,0.010999999999999992,0.1818,149.0,0.16652229358137138,-0.4275781351171013,-0.05753924424927381,1.0
11,TabularQ,Random,20,0.003,0.189,-0.18600000000000003,-0.201,-0.171,0.0,0.0,1.7223712824158568e-08,-6.9778697800021074,-0.7899026268106618,0.0
11,MLP_DQN,Random,20,0.10300000000000002,0.189,-0.08600000000000001,-0.11200000000000002,-0.06000000000000001,0.0,19.0,8.116871062819683e-07,-2.2442599022752625,-0.24606650636675387,0.0
11,DoubleDQN,Random,20,0.09700000000000002,0.189,-0.092,-0.11600000000000002,-0.06700000000000002,0.0,16.5,6.330047352745551e-07,-2.3508132686487415,-0.26606861831306217,0.0
13,BFSOracle,Random,20,1.0,0.12300000000000003,0.877,0.8550000000000001,0.898,0.0,400.0,7.114171266908499e-09,24.619418374425123,2.424926752240211,0.0
13,NoBackRandom,Random,20,0.25799999999999995,0.12300000000000003,0.13500000000000004,0.10800000000000003,0.16300000000000006,0.0,389.0,2.975862976436532e-07,2.578794766301954,0.34891038773240646,0.0
13,LevyRandom_2.0,Random,20,0.15800000000000003,0.12300000000000003,0.03500000000000001,0.015000000000000008,0.05800000000000001,0.0,284.0,0.02173129009035444,0.7107808831555227,0.10089844490336386,0.0
13,LevyRandom_1.5,Random,20,0.12500000000000003,0.12300000000000003,0.002000000000000006,-0.02399999999999999,0.027000000000000003,0.8362,207.5,0.848176690195957,0.044223732866370886,0.006068346463833696,1.0
13,FeatureQ_v2,Random,20,0.12100000000000002,0.12300000000000003,-0.001999999999999995,-0.02702499999999998,0.025,0.8966,193.0,0.8585199389515021,-0.044315057140950284,-0.006110914428895553,1.0
13,TabularQ_v2,Random,20,0.09000000000000002,0.12300000000000003,-0.032999999999999995,-0.067,-0.000999999999999994,0.0482,136.0,0.08336966784656014,-0.5977422553522002,-0.10728059331878681,0.6748
13,FeatureQ,Random,20,0.11100000000000002,0.12300000000000003,-0.011999999999999995,-0.045,0.022000000000000002,0.5008,168.0,0.388026030314955,-0.20823003249827207,-0.037345713212963094,1.0
13,TabularQ,Random,20,0.001,0.12300000000000003,-0.12200000000000003,-0.14400000000000002,-0.101,0.0,0.0,1.0057252684029215e-08,-3.4114066707519695,-0.6534098024744386,0.0
13,MLP_DQN,Random,20,0.041,0.12300000000000003,-0.082,-0.10800000000000001,-0.054000000000000006,0.0,33.5,5.8200503079970194e-06,-1.9187832359670656,-0.3088771392800238,0.0
13,DoubleDQN,Random,20,0.03400000000000001,0.12300000000000003,-0.08900000000000001,-0.11400000000000002,-0.06499999999999999,0.0,32.0,4.855338035777688e-06,-2.0517705129380914,-0.34576172382930964,0.0
17,BFSOracle,Random,20,1.0,0.044000000000000004,0.9560000000000001,0.9440000000000003,0.9670000000000002,0.0,400.0,6.777582655208486e-09,51.13881415571748,2.7189300487854884,0.0
17,NoBackRandom,Random,20,0.14800000000000005,0.044000000000000004,0.10400000000000002,0.085,0.12400000000000003,0.0,391.0,2.0268414572009052e-07,2.8114053425288934,0.3671196147671506,0.0
17,LevyRandom_2.0,Random,20,0.06900000000000002,0.044000000000000004,0.025,0.011000000000000001,0.03900000000000001,0.0,297.0,0.007797127236573406,0.9334023312371332,0.108931700151779,0.0
17,LevyRandom_1.5,Random,20,0.05900000000000001,0.044000000000000004,0.015000000000000003,0.0010000000000000005,0.029000000000000005,0.0326,250.5,0.1650795895190169,0.4869341077509169,0.06804419491604052,0.5216
17,FeatureQ_v2,Random,20,0.009999999999999998,0.044000000000000004,-0.034,-0.047,-0.020999999999999998,0.0,52.5,3.586129650303263e-05,-1.5417705007737943,-0.22232776248118505,0.0
17,TabularQ_v2,Random,20,0.011000000000000001,0.044000000000000004,-0.033,-0.048,-0.018,0.0002,58.5,7.757489842266932e-05,-1.5307715728200664,-0.21251435577984742,0.004
17,FeatureQ,Random,20,0.04900000000000001,0.044000000000000004,0.005,-0.011999999999999997,0.021000000000000005,0.5432,213.0,0.7280909074754824,0.1679982457537929,0.023753933369755675,1.0
17,TabularQ,Random,20,0.0,0.044000000000000004,-0.044000000000000004,-0.05600000000000001,-0.033,0.0,10.0,2.5553848084429587e-08,-2.35366927076524,-0.4226626048043046,0.0
17,MLP_DQN,Random,20,0.009000000000000001,0.044000000000000004,-0.034999999999999996,-0.048024999999999984,-0.021,0.0,50.5,2.766945494540112e-05,-1.6235456075364343,-0.23264018134159398,0.0
17,DoubleDQN,Random,20,0.005,0.044000000000000004,-0.039,-0.05100000000000001,-0.026000000000000002,0.0,31.5,1.7526806732726672e-06,-1.9260727134667,-0.28112313147987744,0.0
21,BFSOracle,Random,20,1.0,0.020999999999999998,0.9790000000000001,0.9720000000000001,0.986,0.0,400.0,5.773454648502852e-09,91.18794631151322,2.8507410146830545,0.0
21,NoBackRandom,Random,20,0.079,0.020999999999999998,0.05800000000000001,0.039999999999999994,0.077,0.0,358.5,1.363538214750435e-05,1.7209928810881978,0.27896483044936404,0.0
21,LevyRandom_2.0,Random,20,0.040999999999999995,0.020999999999999998,0.02,0.008,0.031999999999999994,0.0004,294.5,0.008161241604769299,0.975900072948533,0.11693712316281951,0.0076
21,LevyRandom_1.5,Random,20,0.03200000000000001,0.020999999999999998,0.011,-1.0408340855860842e-18,0.023,0.0728,268.0,0.053809167656588934,0.6436103124051347,0.06885536067821801,0.8736
21,FeatureQ_v2,Random,20,0.003,0.020999999999999998,-0.018000000000000002,-0.025,-0.011,0.0,71.0,0.00010569458339196102,-1.50996688705415,-0.18125228107509916,0.0
21,TabularQ_v2,Random,20,0.002,0.020999999999999998,-0.018999999999999996,-0.026999999999999996,-0.011,0.0,64.0,3.569734952363033e-05,-1.6400621700315592,-0.20137907870224392,0.0
21,FeatureQ,Random,20,0.031000000000000007,0.020999999999999998,0.009999999999999998,0.0009999999999999996,0.019999999999999997,0.0356,248.5,0.16981635216002366,0.5293732031380041,0.06312992806573392,0.534
21,TabularQ,Random,20,0.001,0.020999999999999998,-0.019999999999999997,-0.026000000000000002,-0.014000000000000002,0.0,57.0,1.0543212711031954e-05,-1.786974345345889,-0.22759554003159524,0.0
21,MLP_DQN,Random,20,0.002,0.020999999999999998,-0.019,-0.026000000000000002,-0.012,0.0,64.0,3.569734952363033e-05,-1.6400621700315592,-0.20137907870224392,0.0
21,DoubleDQN,Random,20,0.002,0.020999999999999998,-0.018999999999999996,-0.026000000000000002,-0.011999999999999999,0.0,64.0,3.569734952363033e-05,-1.6400621700315592,-0.20137907870224392,0.0
25,BFSOracle,Random,20,1.0,0.015,0.9850000000000001,0.9780000000000001,0.991,0.0,400.0,5.009116676311626e-09,88.56846131905831,2.896027136074501,0.0
25,NoBackRandom,Random,20,0.045000000000000005,0.015,0.030000000000000006,0.015,0.046,0.0,318.0,0.0009007273274941139,1.1987388330724784,0.18194674742957767,0.0
25,LevyRandom_2.0,Random,20,0.031000000000000007,0.015,0.016,0.004000000000000002,0.028000000000000004,0.0046,288.0,0.013045525851920455,0.8371765365286593,0.10841604945718053,0.07819999999999999
25,LevyRandom_1.5,Random,20,0.018000000000000006,0.015,0.0030000000000000005,-0.008,0.013000000000000001,0.5378,228.0,0.414397447547338,0.1991862796829171,0.02357421535926052,1.0
25,FeatureQ_v2,Random,20,0.0,0.015,-0.015,-0.022000000000000002,-0.008999999999999998,0.0,80.0,5.457665140815739e-05,-1.3487582941988576,-0.245565517515292,0.0
25,TabularQ_v2,Random,20,0.0,0.015,-0.015,-0.022000000000000002,-0.008999999999999998,0.0,80.0,5.457665140815739e-05,-1.3487582941988576,-0.245565517515292,0.0
