agent,size,n_seeds,mean,ci_lo,ci_hi,std,min,max
DoubleDQN,9,20,0.15800000000000003,0.13800000000000004,0.18000000000000002,0.048946802486824516,0.06,0.3
FeatureQ,9,20,0.196,0.17400000000000002,0.21800000000000003,0.05174837907453823,0.1,0.28
MLP_DQN,9,20,0.193,0.15800000000000006,0.22800000000000004,0.081117199162693,0.04,0.36
Random,9,20,0.31700000000000006,0.2950000000000001,0.34,0.052425385574467444,0.24,0.44
TabularQ,9,20,0.005,0.001,0.01,0.011002392084403616,0.0,0.04
DoubleDQN,11,20,0.09700000000000002,0.07900000000000003,0.11500000000000002,0.04117996446919558,0.02,0.16
FeatureQ,11,20,0.16700000000000004,0.14,0.19300000000000003,0.06266871963789136,0.06,0.26
MLP_DQN,11,20,0.10300000000000002,0.085,0.11900000000000002,0.03961658344949153,0.0,0.18
Random,11,20,0.189,0.17300000000000001,0.20500000000000002,0.03697794506259957,0.12,0.26
TabularQ,11,20,0.003,0.0,0.006,0.007326950970650465,0.0,0.02
DoubleDQN,13,20,0.03400000000000001,0.02,0.05,0.03500375919661683,0.0,0.14
FeatureQ,13,20,0.11100000000000002,0.084,0.13999999999999999,0.0640641126241189,0.02,0.26
MLP_DQN,13,20,0.041,0.028000000000000004,0.05600000000000001,0.0333876750029897,0.0,0.12
Random,13,20,0.12300000000000003,0.10200000000000002,0.14500000000000002,0.05037752213876845,0.04,0.24
TabularQ,13,20,0.001,0.0,0.003,0.00447213595499958,0.0,0.02
DoubleDQN,17,20,0.005,0.001,0.01,0.011002392084403618,0.0,0.04
FeatureQ,17,20,0.04900000000000001,0.036,0.06300000000000001,0.03275105462343722,0.0,0.12
MLP_DQN,17,20,0.009000000000000001,0.003,0.016,0.015183093090324963,0.0,0.04
Random,17,20,0.044000000000000004,0.033,0.055000000000000014,0.026437612759495757,0.0,0.08
TabularQ,17,20,0.0,0.0,0.0,0.0,0.0,0.0
DoubleDQN,21,20,0.002,0.0,0.005,0.006155870112510925,0.0,0.02
FeatureQ,21,20,0.031000000000000007,0.022,0.041,0.02198085291195139,0.0,0.08
MLP_DQN,21,20,0.002,0.0,0.005,0.006155870112510925,0.0,0.02
Random,21,20,0.020999999999999998,0.015,0.027000000000000007,0.015183093090324963,0.0,0.04
TabularQ,21,20,0.001,0.0,0.003,0.00447213595499958,0.0,0.02
FeatureQ,25,1,0.0,0.0,0.0,0.0,0.0,0.0
Random,25,1,0.0,0.0,0.0,0.0,0.0,0.0
TabularQ,25,1,0.0,0.0,0.0,0.0,0.0,0.0
