size,agent,reference,n,agent_mean,ref_mean,diff,ci_lo,ci_hi,bootstrap_p,mann_whitney_u,mwu_p,cohens_d,cohens_h,bootstrap_p_holm
9,BFSOracle,Random,20,1.0,0.31700000000000006,0.683,0.66,0.7040000000000001,0.0,400.0,7.4104499801006485e-09,18.42443031208237,1.945503461507268,0.0
9,LevyRandom_1.5,Random,20,0.34299999999999997,0.31700000000000006,0.026000000000000002,-0.012000000000000005,0.06400000000000002,0.1896,248.5,0.1904683225229562,0.4094294468396726,0.05530393569466563,0.7584
9,LevyRandom_2.0,Random,20,0.403,0.31700000000000006,0.08600000000000001,0.043999999999999984,0.128,0.0,336.0,0.00023039305315044188,1.4066463309267794,0.17946915389451767,0.0
9,NoBackRandom,Random,20,0.522,0.31700000000000006,0.205,0.164,0.24402499999999963,0.0,396.5,1.0546180221543886e-07,3.3193384056705004,0.4187213444286939,0.0
11,BFSOracle,Random,20,1.0,0.189,0.8110000000000002,0.7950000000000002,0.8260000000000002,0.0,400.0,6.996021883219048e-09,31.01652071641513,2.2420906689474918,0.0
11,LevyRandom_1.5,Random,20,0.207,0.189,0.017999999999999995,-0.017000000000000005,0.055999999999999994,0.3536,225.5,0.4905657379941567,0.33921294279662667,0.045180740292459554,1.0
11,LevyRandom_2.0,Random,20,0.23000000000000004,0.189,0.041,0.013000000000000006,0.06700000000000002,0.0032,293.5,0.010921599195455546,0.8559871057511357,0.10085723275267344,0.0256
11,NoBackRandom,Random,20,0.36900000000000005,0.189,0.18,0.15,0.21000000000000002,0.0,398.0,8.011648092765122e-08,3.402319851007488,0.4062003273218858,0.0
13,BFSOracle,Random,20,1.0,0.12300000000000003,0.877,0.8550000000000001,0.898,0.0,400.0,7.114171266908499e-09,24.619418374425123,2.424926752240211,0.0
13,LevyRandom_1.5,Random,20,0.12500000000000003,0.12300000000000003,0.002000000000000006,-0.02399999999999999,0.027000000000000003,0.8362,207.5,0.848176690195957,0.044223732866370886,0.006068346463833696,1.0
13,LevyRandom_2.0,Random,20,0.15800000000000003,0.12300000000000003,0.03500000000000001,0.015000000000000008,0.05800000000000001,0.0,284.0,0.02173129009035444,0.7107808831555227,0.10089844490336386,0.0
13,NoBackRandom,Random,20,0.25799999999999995,0.12300000000000003,0.13500000000000004,0.10800000000000003,0.16300000000000006,0.0,389.0,2.975862976436532e-07,2.578794766301954,0.34891038773240646,0.0
17,BFSOracle,Random,20,1.0,0.044000000000000004,0.9560000000000001,0.9440000000000003,0.9670000000000002,0.0,400.0,6.777582655208486e-09,51.13881415571748,2.7189300487854884,0.0
17,LevyRandom_1.5,Random,20,0.05900000000000001,0.044000000000000004,0.015000000000000003,0.0010000000000000005,0.029000000000000005,0.0326,250.5,0.1650795895190169,0.4869341077509169,0.06804419491604052,0.1956
17,LevyRandom_2.0,Random,20,0.06900000000000002,0.044000000000000004,0.025,0.011000000000000001,0.03900000000000001,0.0,297.0,0.007797127236573406,0.9334023312371332,0.108931700151779,0.0
17,NoBackRandom,Random,20,0.14800000000000005,0.044000000000000004,0.10400000000000002,0.085,0.12400000000000003,0.0,391.0,2.0268414572009052e-07,2.8114053425288934,0.3671196147671506,0.0
21,BFSOracle,Random,20,1.0,0.020999999999999998,0.9790000000000001,0.9720000000000001,0.986,0.0,400.0,5.773454648502852e-09,91.18794631151322,2.8507410146830545,0.0
21,LevyRandom_1.5,Random,20,0.03200000000000001,0.020999999999999998,0.011,-1.0408340855860842e-18,0.023,0.0728,268.0,0.053809167656588934,0.6436103124051347,0.06885536067821801,0.364
21,LevyRandom_2.0,Random,20,0.040999999999999995,0.020999999999999998,0.02,0.008,0.031999999999999994,0.0004,294.5,0.008161241604769299,0.975900072948533,0.11693712316281951,0.0036000000000000003
21,NoBackRandom,Random,20,0.079,0.020999999999999998,0.05800000000000001,0.039999999999999994,0.077,0.0,358.5,1.363538214750435e-05,1.7209928810881978,0.27896483044936404,0.0
25,BFSOracle,Random,20,1.0,0.015,0.9850000000000001,0.9780000000000001,0.991,0.0,400.0,5.009116676311626e-09,88.56846131905831,2.896027136074501,0.0
25,LevyRandom_1.5,Random,20,0.018000000000000006,0.015,0.0030000000000000005,-0.008,0.013000000000000001,0.5378,228.0,0.414397447547338,0.1991862796829171,0.02357421535926052,1.0
25,LevyRandom_2.0,Random,20,0.031000000000000007,0.015,0.016,0.004000000000000002,0.028000000000000004,0.0046,288.0,0.013045525851920455,0.8371765365286593,0.10841604945718053,0.0322
25,NoBackRandom,Random,20,0.045000000000000005,0.015,0.030000000000000006,0.015,0.046,0.0,318.0,0.0009007273274941139,1.1987388330724784,0.18194674742957767,0.0
