agent,size,n_seeds,mean,ci_lo,ci_hi,std,min,max
BFSOracle,9,20,1.0,1.0,1.0,0.0,1.0,1.0
LevyRandom_1.5,9,20,0.34299999999999997,0.31100000000000005,0.373,0.07291667919799391,0.22,0.46
LevyRandom_2.0,9,20,0.403,0.37300000000000005,0.433,0.06875586099419184,0.3,0.52
NoBackRandom,9,20,0.522,0.492,0.5519999999999998,0.06985699678629191,0.4,0.62
Random,9,20,0.31700000000000006,0.296,0.3400000000000001,0.052425385574467444,0.24,0.44
BFSOracle,11,20,1.0,1.0,1.0,0.0,1.0,1.0
LevyRandom_1.5,11,20,0.207,0.18000000000000002,0.23400000000000004,0.06530092285960276,0.1,0.36
LevyRandom_2.0,11,20,0.23000000000000004,0.20600000000000004,0.255,0.056754318175615034,0.14,0.36
NoBackRandom,11,20,0.36900000000000005,0.34099999999999997,0.397,0.06504249622969181,0.26,0.48
Random,11,20,0.189,0.17300000000000001,0.20500000000000002,0.03697794506259957,0.12,0.26
BFSOracle,13,20,1.0,1.0,1.0,0.0,1.0,1.0
LevyRandom_1.5,13,20,0.12500000000000003,0.10800000000000001,0.14200000000000004,0.039403446282620616,0.06,0.2
LevyRandom_2.0,13,20,0.15800000000000003,0.14,0.18000000000000002,0.0480788825511619,0.08,0.3
NoBackRandom,13,20,0.25799999999999995,0.23599999999999993,0.28200000000000003,0.05425087920703997,0.16,0.38
Random,13,20,0.12300000000000003,0.10200000000000001,0.14500000000000002,0.05037752213876845,0.04,0.24
BFSOracle,17,20,1.0,1.0,1.0,0.0,1.0,1.0
LevyRandom_1.5,17,20,0.05900000000000001,0.045000000000000005,0.07400000000000002,0.03462581938988669,0.0,0.14
LevyRandom_2.0,17,20,0.06900000000000002,0.057000000000000016,0.081,0.02712543960351999,0.02,0.1
NoBackRandom,17,20,0.14800000000000005,0.12900000000000003,0.16700000000000004,0.04514304749174678,0.06,0.24
Random,17,20,0.044000000000000004,0.03300000000000001,0.055000000000000014,0.026437612759495757,0.0,0.08
BFSOracle,21,20,1.0,1.0,1.0,0.0,1.0,1.0
LevyRandom_1.5,21,20,0.03200000000000001,0.024,0.04,0.01880649383926509,0.0,0.06
LevyRandom_2.0,21,20,0.040999999999999995,0.031,0.05100000000000001,0.02468752081944492,0.0,0.08
NoBackRandom,21,20,0.079,0.06000000000000001,0.09802499999999965,0.04517801048717116,0.0,0.16
Random,21,20,0.020999999999999998,0.015,0.027000000000000003,0.015183093090324963,0.0,0.04
BFSOracle,25,20,1.0,1.0,1.0,0.0,1.0,1.0
LevyRandom_1.5,25,20,0.018000000000000006,0.012,0.024,0.014363696929192158,0.0,0.04
LevyRandom_2.0,25,20,0.031000000000000007,0.022,0.040999999999999995,0.021980852911951395,0.0,0.08
NoBackRandom,25,20,0.045000000000000005,0.03200000000000001,0.05900000000000001,0.03170588522490323,0.0,0.1
Random,25,20,0.015,0.008999999999999998,0.022000000000000002,0.015727950313140986,0.0,0.06
