Device: cuda

Reward sensitivity: 600 runs, 0 done
Configs: ['full', 'vanilla', 'no_distance', 'no_revisit', 'no_wall_cost', 'no_hazard_cost']
Code hash: ed681d75c27fe352

  [0/600] full__Random s=42... done (0s) test=26%
  [1/600] full__Random s=123... done (0s) test=32%
  [2/600] full__Random s=456... done (0s) test=34%
  [3/600] full__Random s=789... done (0s) test=34%
  [4/600] full__Random s=1024... done (0s) test=24%
  [5/600] full__Random s=2048... done (0s) test=36%
  [6/600] full__Random s=3072... done (0s) test=40%
  [7/600] full__Random s=4096... done (0s) test=30%
  [8/600] full__Random s=5120... done (0s) test=26%
  [9/600] full__Random s=6144... done (0s) test=28%
  [10/600] full__Random s=7168... done (0s) test=44%
  [11/600] full__Random s=8192... done (0s) test=34%
  [12/600] full__Random s=9216... done (0s) test=28%
  [13/600] full__Random s=10240... done (0s) test=28%
  [14/600] full__Random s=11264... done (0s) test=28%
  [15/600] full__Random s=12288... done (0s) test=28%
  [16/600] full__Random s=13312... done (0s) test=32%
  [17/600] full__Random s=14336... done (0s) test=38%
  [18/600] full__Random s=15360... done (0s) test=28%
  [19/600] full__Random s=16384... done (0s) test=36%
  [20/600] full__NoBackRandom s=42... done (0s) test=46%
  [21/600] full__NoBackRandom s=123... done (0s) test=62%
  [22/600] full__NoBackRandom s=456... done (0s) test=56%
  [23/600] full__NoBackRandom s=789... done (0s) test=52%
  [24/600] full__NoBackRandom s=1024... done (0s) test=60%
  [25/600] full__NoBackRandom s=2048... done (0s) test=62%
  [26/600] full__NoBackRandom s=3072... done (0s) test=40%
  [27/600] full__NoBackRandom s=4096... done (1s) test=48%
  [28/600] full__NoBackRandom s=5120... done (0s) test=48%
  [29/600] full__NoBackRandom s=6144... done (0s) test=50%
  [30/600] full__NoBackRandom s=7168... done (0s) test=48%
  [31/600] full__NoBackRandom s=8192... done (0s) test=44%
  [32/600] full__NoBackRandom s=9216... done (0s) test=40%
  [33/600] full__NoBackRandom s=10240... done (0s) test=52%
  [34/600] full__NoBackRandom s=11264... done (0s) test=62%
  [35/600] full__NoBackRandom s=12288... done (0s) test=54%
  [36/600] full__NoBackRandom s=13312... done (0s) test=58%
  [37/600] full__NoBackRandom s=14336... done (0s) test=50%
  [38/600] full__NoBackRandom s=15360... done (0s) test=60%
  [39/600] full__NoBackRandom s=16384... done (0s) test=52%
  [40/600] full__FeatureQ_v2 s=42... done (1s) test=40%
  [41/600] full__FeatureQ_v2 s=123... done (1s) test=38%
  [42/600] full__FeatureQ_v2 s=456... done (1s) test=42%
  [43/600] full__FeatureQ_v2 s=789... done (1s) test=38%
  [44/600] full__FeatureQ_v2 s=1024... done (1s) test=28%
  [45/600] full__FeatureQ_v2 s=2048... done (1s) test=36%
  [46/600] full__FeatureQ_v2 s=3072... done (1s) test=18%
  [47/600] full__FeatureQ_v2 s=4096... done (1s) test=34%
  [48/600] full__FeatureQ_v2 s=5120... done (1s) test=24%
  [49/600] full__FeatureQ_v2 s=6144... done (1s) test=38%
  [50/600] full__FeatureQ_v2 s=7168... done (1s) test=42%
  [51/600] full__FeatureQ_v2 s=8192... done (1s) test=38%
  [52/600] full__FeatureQ_v2 s=9216... done (1s) test=28%
  [53/600] full__FeatureQ_v2 s=10240... done (1s) test=32%
  [54/600] full__FeatureQ_v2 s=11264... done (1s) test=46%
  [55/600] full__FeatureQ_v2 s=12288... done (1s) test=36%
  [56/600] full__FeatureQ_v2 s=13312... done (1s) test=42%
  [57/600] full__FeatureQ_v2 s=14336... done (1s) test=38%
  [58/600] full__FeatureQ_v2 s=15360... done (1s) test=36%
  [59/600] full__FeatureQ_v2 s=16384... done (1s) test=32%
  [60/600] full__MLP_DQN s=42... done (77s) test=22%
  [61/600] full__MLP_DQN s=123... done (73s) test=18%
  [62/600] full__MLP_DQN s=456... done (65s) test=32%
  [63/600] full__MLP_DQN s=789... done (79s) test=14%
  [64/600] full__MLP_DQN s=1024... done (73s) test=16%
  [65/600] full__MLP_DQN s=2048... done (69s) test=20%
  [66/600] full__MLP_DQN s=3072... done (67s) test=20%
  [67/600] full__MLP_DQN s=4096... 
