
Wall-following + DFS: 300 runs, 0 done
Code hash: ed681d75c27fe352

  [0/300] WallFollowerLeft 9x9 s=42... done (0.0s) test=100%
  [1/300] WallFollowerLeft 9x9 s=123... done (0.1s) test=100%
  [2/300] WallFollowerLeft 9x9 s=456... done (0.0s) test=100%
  [3/300] WallFollowerLeft 9x9 s=789... done (0.0s) test=100%
  [4/300] WallFollowerLeft 9x9 s=1024... done (0.0s) test=100%
  [5/300] WallFollowerLeft 9x9 s=2048... done (0.0s) test=100%
  [6/300] WallFollowerLeft 9x9 s=3072... done (0.0s) test=100%
  [7/300] WallFollowerLeft 9x9 s=4096... done (0.0s) test=100%
  [8/300] WallFollowerLeft 9x9 s=5120... done (0.0s) test=100%
  [9/300] WallFollowerLeft 9x9 s=6144... done (0.0s) test=100%
  [10/300] WallFollowerLeft 9x9 s=7168... done (0.0s) test=100%
  [11/300] WallFollowerLeft 9x9 s=8192... done (0.0s) test=100%
  [12/300] WallFollowerLeft 9x9 s=9216... done (0.0s) test=100%
  [13/300] WallFollowerLeft 9x9 s=10240... done (0.0s) test=100%
  [14/300] WallFollowerLeft 9x9 s=11264... done (0.0s) test=100%
  [15/300] WallFollowerLeft 9x9 s=12288... done (0.0s) test=100%
  [16/300] WallFollowerLeft 9x9 s=13312... done (0.0s) test=100%
  [17/300] WallFollowerLeft 9x9 s=14336... done (0.0s) test=100%
  [18/300] WallFollowerLeft 9x9 s=15360... done (0.0s) test=100%
  [19/300] WallFollowerLeft 9x9 s=16384... done (0.0s) test=100%
  [20/300] WallFollowerLeft 11x11 s=42... done (0.0s) test=100%
  [21/300] WallFollowerLeft 11x11 s=123... done (0.0s) test=100%
  [22/300] WallFollowerLeft 11x11 s=456... done (0.0s) test=100%
  [23/300] WallFollowerLeft 11x11 s=789... done (0.0s) test=100%
  [24/300] WallFollowerLeft 11x11 s=1024... done (0.0s) test=100%
  [25/300] WallFollowerLeft 11x11 s=2048... done (0.0s) test=100%
  [26/300] WallFollowerLeft 11x11 s=3072... done (0.0s) test=100%
  [27/300] WallFollowerLeft 11x11 s=4096... done (0.0s) test=100%
  [28/300] WallFollowerLeft 11x11 s=5120... done (0.0s) test=100%
  [29/300] WallFollowerLeft 11x11 s=6144... done (0.0s) test=100%
  [30/300] WallFollowerLeft 11x11 s=7168... done (0.0s) test=100%
  [31/300] WallFollowerLeft 11x11 s=8192... done (0.0s) test=100%
  [32/300] WallFollowerLeft 11x11 s=9216... done (0.0s) test=100%
  [33/300] WallFollowerLeft 11x11 s=10240... done (0.0s) test=100%
  [34/300] WallFollowerLeft 11x11 s=11264... done (0.0s) test=100%
  [35/300] WallFollowerLeft 11x11 s=12288... done (0.0s) test=100%
  [36/300] WallFollowerLeft 11x11 s=13312... done (0.0s) test=100%
  [37/300] WallFollowerLeft 11x11 s=14336... done (0.0s) test=100%
  [38/300] WallFollowerLeft 11x11 s=15360... done (0.0s) test=100%
  [39/300] WallFollowerLeft 11x11 s=16384... done (0.0s) test=100%
  [40/300] WallFollowerLeft 13x13 s=42... done (0.0s) test=100%
  [41/300] WallFollowerLeft 13x13 s=123... done (0.0s) test=100%
  [42/300] WallFollowerLeft 13x13 s=456... done (0.0s) test=100%
  [43/300] WallFollowerLeft 13x13 s=789... done (0.1s) test=100%
  [44/300] WallFollowerLeft 13x13 s=1024... done (0.0s) test=100%
  [45/300] WallFollowerLeft 13x13 s=2048... done (0.1s) test=100%
  [46/300] WallFollowerLeft 13x13 s=3072... done (0.2s) test=100%
  [47/300] WallFollowerLeft 13x13 s=4096... done (0.1s) test=100%
  [48/300] WallFollowerLeft 13x13 s=5120... done (0.2s) test=100%
  [49/300] WallFollowerLeft 13x13 s=6144... done (0.2s) test=100%
  [50/300] WallFollowerLeft 13x13 s=7168... done (0.2s) test=100%
  [51/300] WallFollowerLeft 13x13 s=8192... done (0.1s) test=100%
  [52/300] WallFollowerLeft 13x13 s=9216... done (0.2s) test=100%
  [53/300] WallFollowerLeft 13x13 s=10240... done (0.2s) test=100%
  [54/300] WallFollowerLeft 13x13 s=11264... done (0.2s) test=100%
  [55/300] WallFollowerLeft 13x13 s=12288... done (0.1s) test=100%
  [56/300] WallFollowerLeft 13x13 s=13312... done (0.1s) test=100%
  [57/300] WallFollowerLeft 13x13 s=14336... done (0.1s) test=100%
  [58/300] WallFollowerLeft 13x13 s=15360... done (0.1s) test=100%
  [59/300] WallFollowerLeft 13x13 s=16384... done (0.2s) test=100%
  [60/300] WallFollowerLeft 17x17 s=42... done (0.3s) test=100%
  [61/300] WallFollowerLeft 17x17 s=123... done (0.3s) test=100%
  [62/300] WallFollowerLeft 17x17 s=456... done (0.3s) test=100%
  [63/300] WallFollowerLeft 17x17 s=789... done (0.3s) test=100%
  [64/300] WallFollowerLeft 17x17 s=1024... done (0.3s) test=100%
  [65/300] WallFollowerLeft 17x17 s=2048... done (0.3s) test=100%
  [66/300] WallFollowerLeft 17x17 s=3072... done (0.3s) test=100%
  [67/300] WallFollowerLeft 17x17 s=4096... done (0.3s) test=100%
  [68/300] WallFollowerLeft 17x17 s=5120... 
